#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
copy_Manifest_csv		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/Manifest.csv scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/Manifest.csv
copy_SHIP1996115_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP1996115.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP1996115.tar
copy_SHIP1996116_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP1996116.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP1996116.tar
copy_SHIP1996458_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP1996458.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP1996458.tar
copy_SHIP2001632_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP2001632.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP2001632.tar
copy_SHIP2003943_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP2003943.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP2003943.tar
copy_SHIP2004052_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP2004052.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP2004052.tar
copy_SHIP2004053_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP2004053.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP2004053.tar
copy_SHIP2009193_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP2009193.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP2009193.tar
copy_SHIP2011525_tar		command	1	2048	0	0			rsync -avLP /Volumes/CLA00131/SHIP2011525.tar scg3:/srv/gsfs0/projects/mvp/Claritas_ion_torrent_exomes/data/CLA00131/SHIP2011525.tar
