#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
copy_Manifest_csv		complete	0	2015-07-19T21:16:19.967678
copy_SHIP1996115_tar		waiting	0	2015-07-19T21:16:19.631605
copy_SHIP1996116_tar		waiting	0	2015-07-19T21:16:19.633328
copy_SHIP1996458_tar		waiting	0	2015-07-19T21:16:19.637023
copy_SHIP2001632_tar		waiting	0	2015-07-19T21:16:19.640361
copy_SHIP2003943_tar		waiting	0	2015-07-19T21:16:19.641409
copy_SHIP2004052_tar		waiting	0	2015-07-19T21:16:19.642343
copy_SHIP2004053_tar		waiting	0	2015-07-19T21:16:19.643279
copy_SHIP2009193_tar		waiting	0	2015-07-19T21:16:19.644494
copy_SHIP2011525_tar		waiting	0	2015-07-19T21:16:19.645709
copy_SHIP2011526_tar		waiting	0	2015-07-19T21:16:19.647013
copy_SHIP2011527_tar		waiting	0	2015-07-19T21:16:19.648516
copy_SHIP2011543_tar		waiting	0	2015-07-19T21:16:19.649982
copy_SHIP2011544_tar		waiting	0	2015-07-19T21:16:19.651424
copy_SHIP2011552_tar		waiting	0	2015-07-19T21:16:19.652875
copy_SHIP2011560_tar		waiting	0	2015-07-19T21:16:19.655845
copy_SHIP2011561_tar		waiting	0	2015-07-19T21:16:19.657492
copy_SHIP2011562_tar		waiting	0	2015-07-19T21:16:19.659149
copy_SHIP2011581_tar		waiting	0	2015-07-19T21:16:19.660643
copy_SHIP2014051_tar		waiting	0	2015-07-19T21:16:19.662459
copy_SHIP2014067_tar		waiting	0	2015-07-19T21:16:19.663854
copy_SHIP2022197_tar		waiting	0	2015-07-19T21:16:19.665199
copy_SHIP2022227_tar		waiting	0	2015-07-19T21:16:19.666791
copy_SHIP2022231_tar		waiting	0	2015-07-19T21:16:19.668624
copy_SHIP2022235_tar		waiting	0	2015-07-19T21:16:19.670080
copy_SHIP2022236_tar		waiting	0	2015-07-19T21:16:19.671409
copy_SHIP2022237_tar		waiting	0	2015-07-19T21:16:19.688980
copy_SHIP2022251_tar		waiting	0	2015-07-19T21:16:19.690745
copy_SHIP2022252_tar		waiting	0	2015-07-19T21:16:19.692868
copy_SHIP2022253_tar		waiting	0	2015-07-19T21:16:19.695291
copy_SHIP2022989_tar		waiting	0	2015-07-19T21:16:19.697244
copy_SHIP2022990_tar		running	0	2015-07-19T21:16:19.978396
copy_SHIP2022991_tar		waiting	0	2015-07-19T21:16:19.701253
copy_SHIP2023007_tar		waiting	0	2015-07-19T21:16:19.702593
copy_SHIP2023008_tar		waiting	0	2015-07-19T21:16:19.703992
copy_SHIP2023009_tar		waiting	0	2015-07-19T21:16:19.705051
copy_SHIP2023014_tar		waiting	0	2015-07-19T21:16:19.706680
copy_SHIP2023016_tar		waiting	0	2015-07-19T21:16:19.708104
copy_SHIP2023017_tar		waiting	0	2015-07-19T21:16:19.709711
copy_SHIP2023019_tar		waiting	0	2015-07-19T21:16:19.711120
copy_SHIP2023022_tar		waiting	0	2015-07-19T21:16:19.712510
copy_SHIP2023040_tar		waiting	0	2015-07-19T21:16:19.714041
copy_SHIP2023064_tar		waiting	0	2015-07-19T21:16:19.716119
copy_SHIP2023073_tar		waiting	0	2015-07-19T21:16:19.717879
copy_SHIP2024329_tar		waiting	0	2015-07-19T21:16:19.719437
copy_SHIP2024335_tar		waiting	0	2015-07-19T21:16:19.721289
copy_SHIP2024408_tar		waiting	0	2015-07-19T21:16:19.722784
copy_SHIP2024414_tar		waiting	0	2015-07-19T21:16:19.724287
copy_SHIP2024415_tar		waiting	0	2015-07-19T21:16:19.725734
copy_SHIP2024443_tar		waiting	0	2015-07-19T21:16:19.727201
copy_SHIP2025115_tar		waiting	0	2015-07-19T21:16:19.728894
copy_SHIP2025642_tar		waiting	0	2015-07-19T21:16:19.730398
copy_SHIP2028102_tar		running	0	2015-07-19T21:16:19.970316
copy_SHIP2028115_tar		waiting	0	2015-07-19T21:16:19.733936
copy_SHIP2033065_tar		waiting	0	2015-07-19T21:16:19.755310
copy_SHIP2033071_tar		waiting	0	2015-07-19T21:16:19.757609
copy_SHIP2033074_tar		waiting	0	2015-07-19T21:16:19.758839
copy_SHIP2033075_tar		waiting	0	2015-07-19T21:16:19.759873
copy_SHIP2033077_tar		waiting	0	2015-07-19T21:16:19.761046
copy_SHIP2033082_tar		waiting	0	2015-07-19T21:16:19.762518
copy_SHIP2036194_tar		waiting	0	2015-07-19T21:16:19.763625
copy_SHIP2036195_tar		waiting	0	2015-07-19T21:16:19.764724
copy_SHIP2036196_tar		waiting	0	2015-07-19T21:16:19.765784
copy_SHIP2036207_tar		waiting	0	2015-07-19T21:16:19.767649
